sha256,Malware Name,OS,Category
4ed97b83eb00dbeec284f88abb5a08485944132c5a8025a2aef36277ebb98dee,Agenttesla,Windows,Infostealer
f17d07b910370d463155b794970c54a2624cadbcd809c252f0e8567dc68ce4c6,Agenttesla,Windows,Infostealer
f0e352c3fbf73706c4c0fd2e118cf10b241dd880b58ceb67491b585fa5719fad,Agenttesla,Windows,Infostealer
ac54c568fc2bfe2851a49e58150286a42a37d4d2ce782e73d163f2ec60e646ed,Agenttesla,Windows,Infostealer
17e34e2c81eba5e138e335393b981fc11e2b21db0eecb2bc740dbbff7b9f8f32,Agenttesla,Windows,Infostealer
f8a636179ff8ae53e00155bc1a2ee682e71fe9eabfb726cb2e95afc1bc17e463,Agenttesla,Windows,Infostealer
86f2279dcd0fefd01392dda46e202ae5e1528322b34ddf7029ef3efd58b5b45e,Agenttesla,Windows,Infostealer
c769cee0a5a1cb795c2fc24c6471aaa898e58f38ea1aea8e632564cd4358a751,Agenttesla,Windows,Infostealer
87a21393ccd3a833e6b7481eaf2dd7f3889cafa097bfbf4e2c96160fbf12b265,Agenttesla,Windows,Infostealer
5434f56ea712cdf3befb3d93d70711cda5d7edd1078eafe735f933f12aaca839,Agenttesla,Windows,Infostealer
e3c775114e28518051b469cb95d6668aa037b6bb52219198694146dbf2a359ad,Agenttesla,Windows,Infostealer
f8945563dab52de0ef1cc3dcce3afbdcd8122cfef0c84a0a5d6661ae3ab6137a,Agenttesla,Windows,Infostealer
09ec4ca4e05a633b0a8114607cc08fd062348051d17f745d483cc3646279722b,Agenttesla,Windows,Infostealer
7e6b0abf06d4060bb722a3d7d4f06f8821f83ab32995ff39ca673449a951f6e9,Agenttesla,Windows,Infostealer
cce693672e91fa6a614729d0c1b9cdd96afa589ecd6c8156f5444f38b4edf213,Agenttesla,Windows,Infostealer
c501ebcf488c9172ef490e70c37adb5926783f3aac132e8ff58f90b6b3232e03,Agenttesla,Windows,Infostealer
b0abe21d655ad2ec0d295ea225a0609350d399ffe916f8880b0e66d7d360e212,Agenttesla,Windows,Infostealer
52b4fa12c1dc0df270df91125f54b60d90430db216e93aea75a9f11c04977524,Agenttesla,Windows,Infostealer
3990971d705514cd25bbc3c94b262bc7775928baf3472270b2fa43107ea3d01e,Agenttesla,Windows,Infostealer
bc385447b7304dd800a66e007287df6858f45559b5d77481348ea030b4e0c6ae,Agenttesla,Windows,Infostealer
